Date,Time,Acerage,Precip,Air max,min,speed,Soil max,Soil min,Solar,ETo,RH max,RH min,Water Consumption,WC(Liters),WC(Liters)/ft
20150419,2359,320,0,76,48,0,60,58,529,0.17,90,46,0.1,2.831657936,0.008848931
20150420,2359,320,0,70,51,0,60,58,449,0.14,91,57,0.1,2.831657936,0.008848931
20150421,2359,320,0,61,52,0,59,58,257,0.08,88,66,0.1,2.831657936,0.008848931
20150422,2359,320,0,63,50,0,60,59,468,0.14,93,64,0.1,2.831657936,0.008848931
20150423,2359,320,0,60,50,0,60,59,424,0.12,88,65,0.1,2.831657936,0.008848931
20150424,2359,320,0.04,70,49,0,61,59,572,0.22,85,30,0.1,2.831657936,0.008848931
20150425,2359,320,0.12,68,47,0,61,60,547,0.2,94,47,0.1,2.831657936,0.008848931
20150426,2359,320,0,75,38,0,60,58,614,0.24,91,29,0.1,2.831657936,0.008848931
20150427,2359,320,0,85,42,0,62,58,620,0.23,88,30,0.1,2.831657936,0.008848931
20150428,2359,320,0,81,48,0,63,60,600,0.24,91,37,0.1,2.831657936,0.008848931
20150429,2359,320,0,81,45,0,63,60,631,0.22,91,30,0.1,2.831657936,0.008848931
20150430,2359,320,0,91,44,0,63,60,627,0.26,84,21,0.1,2.831657936,0.008848931
20150501,2359,320,0.11,83,49,0,63,61,626,0.23,90,29,0.1,2.831657936,0.008848931
20150502,2359,320,0,80,49,0,64,61,592,0.2,90,31,0.1,2.831657936,0.008848931
20150503,2359,320,0,68,48,0,63,61,594,0.19,86,50,0.1,2.831657936,0.008848931
20150504,2359,320,0.11,69,49,0,63,61,541,0.17,82,54,0.1,2.831657936,0.008848931
20150505,2359,320,0,64,48,0,63,61,596,0.19,84,58,0.1,2.831657936,0.008848931
20150506,2359,320,0,66,48,0,62,60,561,0.18,83,55,0.1,2.831657936,0.008848931
20150507,2359,320,0.01,57,49,0,61,60,214,0.05,92,68,0.1,2.831657936,0.008848931
20150508,2359,320,0,66,48,0,62,60,481,0.14,92,58,0.1,2.831657936,0.008848931
20150509,2359,320,0,68,49,0,63,61,475,0.14,90,60,0.1,2.831657936,0.008848931
20150510,2359,320,0,73,49,0,64,61,565,0.18,88,52,0.1,2.831657936,0.008848931
20150511,2359,320,0,72,47,0,64,61,585,0.2,91,45,0.1,2.831657936,0.008848931
20150512,2359,320,0,69,40,0,62,60,637,0.23,88,30,0.1,2.831657936,0.008848931
20150513,2359,320,0,66,42,0,63,60,601,0.19,81,47,0.1,2.831657936,0.008848931
20150514,2359,320,0,65,47,0,62,61,401,0.12,83,57,0.1,2.831657936,0.008848931
20150515,2359,320,0.24,69,45,0,64,60,565,0.18,88,50,0.1,2.831657936,0.008848931
20150516,2359,320,0,68,46,0,63,61,578,0.18,89,56,0.1,2.831657936,0.008848931
20150517,2359,320,0,70,54,0,64,62,545,0.19,74,51,0.1,2.831657936,0.008848931
20150518,2359,320,0,69,53,0,64,62,450,0.17,72,52,0.1,2.831657936,0.008848931
20150519,2359,320,0,69,54,0,64,62,473,0.16,75,53,0.1,2.831657936,0.008848931
20150520,2359,320,0,69,53,0,64,62,480,0.15,85,54,0.1,2.831657936,0.008848931
20150521,2359,320,0,67,53,0,64,62,443,0.15,83,59,0.1,2.831657936,0.008848931
20150522,2359,320,0,70,52,0,64,62,433,0.14,82,54,0.1,2.831657936,0.008848931
20150523,2359,320,0,66,52,0,63,62,411,0.14,83,61,0.1,2.831657936,0.008848931
20150524,2359,320,0,70,48,0,63,61,547,0.17,89,57,0.1,2.831657936,0.008848931
20150525,2359,320,0,73,53,0,64,62,518,0.16,88,52,0.1,2.831657936,0.008848931
20150526,2359,320,0,70,53,0,67,62,559,0.17,86,57,0.1,2.831657936,0.008848931
20150527,2359,320,0,71,49,0,66,65,582,0.19,86,60,0.1,2.831657936,0.008848931
20150528,2359,320,0,81,47,0,66,64,596,0.22,88,32,0.1,2.831657936,0.008848931
20150529,2359,320,0,81,53,0,67,64,609,0.22,88,42,0.1,2.831657936,0.008848931
20150530,2359,320,0,86,48,0,67,64,623,0.22,91,29,0.1,2.831657936,0.008848931
20150602,2359,320,0,79,56,0,68,66,625,0.25,88,41,0.1,2.831657936,0.008848931
20150603,2359,320,0,70,52,0,67,65,495,0.17,86,56,0.1,2.831657936,0.008848931
20150604,2359,320,0,67,53,0,65,64,432,0.13,87,61,0.1,2.831657936,0.008848931
20150605,2359,320,0,73,52,0,66,64,573,0.19,89,56,0.1,2.831657936,0.008848931
20150606,2359,320,0,77,53,0,69,64,591,0.19,92,49,0.1,2.831657936,0.008848931
20150607,2359,320,0,87,50,0,69,66,653,0.23,93,39,0.1,2.831657936,0.008848931
20150608,2359,320,0,101,54,0,70,67,663,0.28,81,22,0.1,2.831657936,0.008848931
20150609,2359,320,0,80,54,0,70,67,409,0.14,88,51,0.1,2.831657936,0.008848931
20150610,2359,320,0,81,60,0,69,68,357,0.14,85,56,0.1,2.831657936,0.008848931
20150611,2359,320,0,90,57,0,71,68,609,0.23,88,41,0.1,2.831657936,0.008848931
20150612,2359,320,0,88,54,0,71,68,654,0.24,91,37,0.1,2.831657936,0.008848931
20150613,2359,320,0,80,54,0,70,68,658,0.22,94,48,0.1,2.831657936,0.008848931
20150614,2359,320,0,78,51,0,69,67,634,0.22,88,49,0.1,2.831657936,0.008848931
20150615,2359,320,0,79,45,0,69,67,590,0.2,92,46,0.1,2.831657936,0.008848931
20150616,2359,320,0,85,48,0,70,67,636,0.22,92,39,0.1,2.831657936,0.008848931
20150617,2359,320,0,86,48,0,70,67,678,0.25,94,32,0.1,2.831657936,0.008848931
20150619,2359,320,0,88,46,0,72,66,701,0.28,84,20,0.1,2.831657936,0.008848931
20150620,2359,320,0,88,48,0,71,68,696,0.26,83,31,0.1,2.831657936,0.008848931
20150621,2359,320,0,84,52,0,70,68,641,0.25,93,29,0.1,2.831657936,0.008848931
20150622,2359,320,0,86,44,0,70,67,697,0.26,87,28,0.1,2.831657936,0.008848931
20150623,2359,320,0,80,49,0,71,67,691,0.24,91,44,0.1,2.831657936,0.008848931
20150624,2359,320,0,80,51,0,70,68,660,0.23,90,46,0.1,2.831657936,0.008848931
20150625,2359,320,0,89,51,0,70,68,678,0.27,92,32,0.1,2.831657936,0.008848931
20150626,2359,320,0,82,53,0,71,68,638,0.23,88,47,0.1,2.831657936,0.008848931
20150627,2359,320,0,79,54,0,70,68,541,0.19,90,50,0.1,2.831657936,0.008848931
20150628,2359,320,0,80,57,0,70,68,684,0.24,91,50,0.1,2.831657936,0.008848931
20150629,2359,320,0,87,57,0,70,69,650,0.3,89,26,0.1,2.831657936,0.008848931
20150630,2359,320,0,102,60,0,72,69,604,0.24,81,20,0.1,2.831657936,0.008848931
20150701,2359,320,0,93,55,0,71,69,449,0.19,86,30,0.1,2.831657936,0.008848931
20150702,2359,320,0,82,57,0,70,69,405,0.15,89,40,0.1,2.831657936,0.008848931
20150703,2359,320,0,88,58,0,71,69,658,0.24,92,37,0.1,2.831657936,0.008848931
20150704,2359,320,0,83,56,0,71,69,636,0.23,94,50,0.1,2.831657936,0.008848931
20150705,2359,320,0,80,58,0,71,69,649,0.22,90,55,0.1,2.831657936,0.008848931
20150706,2359,320,0,84,59,7,71,70,600,0.24,89.3,44.1,0.1,2.831657936,0.008848931
20150707,2359,320,0,82,57,0,72,70,633,0.23,89,49,0.1,2.831657936,0.008848931
20150708,2359,320,0,75,57,0,71,69,452,0.15,87,50,0.1,2.831657936,0.008848931
20150709,2359,320,0,75,59,0,70,69,448,0.16,82,57,0.1,2.831657936,0.008848931
20150710,2359,320,0.1,77,57,0,72,69,439,0.15,86,55,0.1,2.831657936,0.008848931
20150711,2359,320,0,81,51,0,72,69,618,0.22,91,41,0.1,2.831657936,0.008848931
20150712,2359,320,0,82,56,0,72,69,598,0.22,89,43,0.1,2.831657936,0.008848931
20150713,2359,320,0,85,57,0,72,70,637,0.26,86,39,0.1,2.831657936,0.008848931
20150714,2359,320,0,78,54,0,71,69,608,0.22,91,54,0.1,2.831657936,0.008848931
20150715,2359,320,0,77,58,0,70,69,520,0.18,89,54,0.1,2.831657936,0.008848931
20150716,2359,320,0,81,57,0,70,69,606,0.21,92,48,0.1,2.831657936,0.008848931
20150717,2359,320,0,82,56,0,70,68,603,0.21,91,48,0.1,2.831657936,0.008848931
20150718,2359,320,0,82,55,0,71,68,616,0.22,91,41,0.1,2.831657936,0.008848931
20150719,2359,320,0,86,57,0,71,69,370,0.14,82,47,0.1,2.831657936,0.008848931
20150720,2359,320,0,93,61,5,72,70,557,0.24,85.2,40,0.1,2.831657936,0.008848931
20150721,2359,320,0,83,57,5,72,70,614,0.22,91.6,51.5,0.1,2.831657936,0.008848931
20150722,2359,320,0,78,57,0,71,69,585,0.21,92,53,0.1,2.831657936,0.008848931
20150723,2359,320,0,78,56,0,71,69,587,0.21,87,49,0.1,2.831657936,0.008848931
20150724,2359,320,0,89,46,0,72,68,660,0.25,90,24,0.1,2.831657936,0.008848931
20150725,2359,320,0,87,50,0,72,69,649,0.25,86,39,0.1,2.831657936,0.008848931
20150726,2359,320,0,79,56,0,71,69,574,0.2,91,54,0.1,2.831657936,0.008848931
20150727,2359,320,0,89,53,0,72,69,616,0.23,93,33,0.1,2.831657936,0.008848931
20150728,2359,320,0,97,49,0,73,69,658,0.24,86,23,0.1,2.831657936,0.008848931
20150729,2359,320,0,85,50,0,72,70,630,0.24,91,44,0.1,2.831657936,0.008848931
20150730,2359,320,0,86,57,0,72,70,561,0.2,92,47,0.1,2.831657936,0.008848931
20150731,2359,320,0,82,58,0,73,70,564,0.2,91,55,0.1,2.831657936,0.008848931
20150801,2359,320,0,85,60,0,73,71,574,0.21,90,47,0.1,2.831657936,0.008848931
20150802,2359,320,0,83,58,5,73,71,537,0.19,90.2,50.4,0.1,2.831657936,0.008848931
20150803,2359,320,0,80,55,4,72,70,553,0.2,90,46.1,0.1,2.831657936,0.008848931
20150804,2359,320,0,77,51,0,72,69,524,0.18,91,47,0.1,2.831657936,0.008848931
20150805,2359,320,0,86,51,4,72,70,536,0.2,92,35.8,0.1,2.831657936,0.008848931
20150806,2359,320,0.05,77,54,5,71,70,307,0.1,92.1,59,0.1,2.831657936,0.008848931
20150807,2359,320,0.02,78,56,5,71,69,541,0.18,92.3,49.2,0.1,2.831657936,0.008848931
20150808,2359,320,0,79,54,6,71,70,507,0.18,92.4,52.2,0.1,2.831657936,0.008848931
20150809,2359,320,0,82,52,5,71,69,542,0.19,93.2,45.1,0.1,2.831657936,0.008848931
20150810,2359,320,0,81,56,6,71,69,546,0.19,92.4,49.6,0.1,2.831657936,0.008848931
20150811,2359,320,0,80,54,0,74,69,559,0.19,94,43,0.1,2.831657936,0.008848931
20150812,2359,320,0,86,49,0,72,70,591,0.21,92,28,0.1,2.831657936,0.008848931
20150813,2359,320,0,88,58,0,73,71,589,0.22,90,30,0.1,2.831657936,0.008848931
20150814,2359,320,0,84,55,0,72,70,620,0.26,87,31,0.14,3.96432111,0.012388503
20150815,2359,320,0,97,52,0,72,69,584,0.26,87,21,0.14,3.96432111,0.012388503
20150816,2359,320,0,103,59,0,72,70,575,0.25,73,19,0.14,3.96432111,0.012388503
20150817,2359,320,0,91,55,0,72,70,593,0.24,89,34,0.14,3.96432111,0.012388503
20150818,2359,320,0,82,57,0,71,69,590,0.21,90,45,0.14,3.96432111,0.012388503
20150819,2359,320,0,85,55,0,71,69,555,0.2,90,40,0.14,3.96432111,0.012388503
20150820,2359,320,0,82,58,0,71,69,499,0.18,87,47,0.14,3.96432111,0.012388503
20150821,2359,320,0,77,57,0,71,69,495,0.17,86,56,0.14,3.96432111,0.012388503
20150822,2359,320,0,79,58,0,71,69,507,0.18,88,50,0.14,3.96432111,0.012388503
20150823,2359,320,0,85,57,0,71,69,496,0.17,88,41,0.14,3.96432111,0.012388503
20150824,2359,320,0,89,51,0,71,68,569,0.22,91,31,0.14,3.96432111,0.012388503
20150825,2359,320,0,93,51,0,72,68,563,0.21,90,31,0.14,3.96432111,0.012388503
20150826,2359,320,0,93,50,0,71,69,539,0.24,90,24,0.14,3.96432111,0.012388503
20150827,2359,320,0,96,54,0,71,69,554,0.28,75,22,0.14,3.96432111,0.012388503
20150828,2359,320,0,98,56,0,72,69,564,0.23,89,18,0.14,3.96432111,0.012388503
20150829,2359,320,0,86,58,0,72,70,538,0.21,93,47,0.14,3.96432111,0.012388503
20150830,2359,320,0,82,55,0,71,70,552,0.24,87,33,0.14,3.96432111,0.012388503
20150831,2359,320,0,87,50,0,70,68,550,0.2,88,32,0.14,3.96432111,0.012388503
20150901,2359,320,0,78,53,0,69,67,503,0.17,92,51,0.14,3.96432111,0.012388503
20150902,2359,320,0,77,55,0,69,68,488,0.17,89,53,0.14,3.96432111,0.012388503
20150903,2359,320,0,75,51,0,69,67,503,0.18,92,45,0.14,3.96432111,0.012388503
20150904,2359,320,0,73,53,0,68,66,509,0.19,88,45,0.14,3.96432111,0.012388503
20150905,2359,320,0,83,45,0,68,65,553,0.22,90,25,0.14,3.96432111,0.012388503
20150906,2359,320,0,90,43,0,68,65,550,0.22,77,12,0.14,3.96432111,0.012388503
20150909,2359,320,0,103,53,0,70,67,518,0.24,64,13,0.14,3.96432111,0.012388503
20150910,2359,320,0,103,56,0,70,68,503,0.25,71,13,0.14,3.96432111,0.012388503
20150911,2359,320,0,99,57,0,69,68,495,0.26,73,11,0.14,3.96432111,0.012388503
20150912,2359,320,0,78,56,0,69,68,220,0.08,86,42,0.14,3.96432111,0.012388503
20150913,2359,320,0,86,57,0,70,68,362,0.13,91,35,0.14,3.96432111,0.012388503
20150914,2359,320,0,70,58,0,69,67,168,0.04,92,69,0.14,3.96432111,0.012388503
20150915,2359,320,0,73,52,0,69,68,465,0.18,84,34,0.14,3.96432111,0.012388503
20150916,2359,320,0,73,44,0,68,66,470,0.16,82,45,0.14,3.96432111,0.012388503
20150917,2359,320,0,79,48,0,68,66,502,0.2,87,36,0.14,3.96432111,0.012388503
20150918,2359,320,0,87,45,0,68,64,506,0.21,90,27,0.14,3.96432111,0.012388503
20150919,2359,320,0,96,44,0,68,65,504,0.21,78,15,0.14,3.96432111,0.012388503
